Season_Year,GameKey,PlayID,GSISID,Time,x,y,dis,o,dir,Event,GamePlayKey,post_punt_playduration,post_punt_duration,GamePlayTimeKey,GSISID_partner,x_partner,y_partner,dis_partner,o_partner,dir_partner,Season_Type,Week,Game_Date,Game_Day,Start_Time,Temperature,PlayPlayerPartnerID
2016,250,3520,32793,37:03.7,77.90000153,41.09999847,0.02,341.480011,137.2299957,,250_3520,9.700000033,8.900000028,250_3520_2016-12-04 20:37:03.700,32228,77.87000275,41.31000137,0.059999999,274.5100098,113.1999969,Reg,13,00:00.0,Sunday,13:00,39,3520_32793_32228
2016,250,3520,31818,37:03.7,80.05999756,46.63999939,0.300000012,232.1300049,353,,250_3520,9.700000033,8.900000028,250_3520_2016-12-04 20:37:03.700,33111,79.83999634,46.84999847,0.25,216.5500031,25.21999931,Reg,13,00:00.0,Sunday,13:00,39,3520_31818_33111
2016,250,3520,33111,37:03.7,79.83999634,46.84999847,0.25,216.5500031,25.21999931,,250_3520,9.700000033,8.900000028,250_3520_2016-12-04 20:37:03.700,29570,79.40000153,46.88999939,0.100000001,219.8999939,13.35999966,Reg,13,00:00.0,Sunday,13:00,39,3520_33111_29570
2016,310,3770,30874,48:26.2,113.6600037,24.29999924,0.219999999,23.28000069,67.80000305,,310_3770,8.500000015,0.600000016,310_3770_2017-01-01 20:48:26.200,29570,113.8300018,23.95000076,0.150000006,180.0700073,313.0499878,Reg,17,00:00.0,Sunday,13:00,80,3770_30874_29570
2016,120,2130,31559,32:46.8,84.12999725,28,0.330000013,256.75,262.2000122,,120_2130,8.200000003,0.300000004,120_2130_2016-10-02 18:32:46.800,29570,83.94000244,27.81999969,0.310000002,304.8999939,271.9200134,Reg,4,00:00.0,Sunday,13:00,56,2130_31559_29570
2016,250,3520,29570,37:03.7,79.40000153,46.88999939,0.100000001,219.8999939,13.35999966,,250_3520,9.700000033,8.900000028,250_3520_2016-12-04 20:37:03.700,31856,79.65000153,47.31999969,0.230000004,37.25999832,6.150000095,Reg,13,00:00.0,Sunday,13:00,39,3520_29570_31856
2016,297,1430,31628,57:55.3,61.65000153,53.06999969,0.790000021,344.6199951,91.30999756,,297_1430,6.5,1.799999997,297_1430_2016-12-24 18:57:55.300,31856,62.13000107,53.16999817,0.970000029,10.72000027,82.79000092,Reg,16,00:00.0,Saturday,13:00,40,1430_31628_31856
2016,286,2323,30705,09:11.3,73.37000275,33.13000107,0.100000001,266.5499878,198.7100067,,286_2323,4.999999978,0.099999979,286_2323_2016-12-18 23:09:11.300,31856,73.73999786,33.34000015,0.189999998,61.54000092,202.3399963,Reg,15,00:00.0,Sunday,14:25,18,2323_30705_31856
2016,44,3207,31867,56:48.2,62.65999985,41.09000015,0.400000006,356.0100098,61.31000137,,44_3207,8.400000006,6.200000003,44_3207_2016-08-27 01:56:48.200,31856,62.84000015,41.13999939,0.379999995,218.8899994,46.75999832,Pre,4,00:00.0,Friday,19:30,88,3207_31867_31856
2016,265,1843,30127,30:02.9,46.50999832,3.029999971,0.270000011,199.6799927,83.26999664,,265_1843,7.5,7,265_1843_2016-12-11 19:30:02.900,31307,46.34000015,3.49000001,0.170000002,23.75,118.2799988,Reg,14,00:00.0,Sunday,13:00,77,1843_30127_31307
